date,site,hr_cst,sal,temp,orthop,nn,amm,chl,secchi
2022-03-09,Gulf,00,28.66,13.5,0.35,0.24,0.32,15.15,0.4
2022-04-20,Gulf,01,30.94,23.5,0.3,0.14,1.05,10.88,0.2
2022-05-11,Gulf,01,30.88,27,0.1,0.12,0.24,3.1,0.5
2022-06-14,Gulf,01,34.65,27.5,0.21,0.15,0.39,14.58,0.2
2022-07-18,Gulf,01,36.79,28.1,0.58,0.24,1.57,5.77,0.3
2022-08-09,Gulf,01,37.25,29.9,0.52,0.14,1.19,3.26,0.5
2022-09-13,Gulf,01,36.67,29.6,0.46,0.06,1.49,2.59,1.5
2022-10-18,Gulf,01,30.02,23.3,0.85,0.51,2.5,7.14,0.5
2022-11-15,Gulf,00,31.31,18.7,0.7,0.42,2.4,7.24,0.3
2022-12-14,Gulf,00,31.91,19.4,0.62,0.83,2.91,19.75,0.2
